,alpha,spectral_norm,D,longname,eigs,norm,alphahat,eigs_num
0,1.5942771434783936,0.3297043740749359,0.24013474583625793,module.conv1,"[0.00043819 0.00045642 0.00052759 0.00084578 0.00101977 0.00133665
 0.00166922 0.00210599 0.00266357 0.00277107 0.00319925 0.00355193
 0.00356082 0.00386084 0.0047232  0.00474478 0.00505554 0.00518129
 0.00573652 0.0072408  0.00831808 0.00979042 0.01069944 0.01635412
 0.01675781 0.01696886 0.01978225 0.02938196 0.03163145 0.036316
 0.04756751 0.04763936 0.04982388 0.05402911 0.06673494 0.07257323
 0.07675448 0.08250467 0.09402637 0.10192419 0.14514492 0.19602318
 0.2036018  0.2676392  0.32970437]",2.092381000518799,-0.7682427627393764,45
1,1.3184287548065186,0.21778081357479095,0.17163097858428955,module.layer1.0.conv1,"[5.8001301e-15 1.5158395e-14 1.5562052e-14 ... 1.9707811e-01 2.1087386e-01
 2.1778081e-01]",13.420757293701172,-0.8727739735288033,4500
2,1.4930248260498047,0.1674707680940628,0.13387775421142578,module.layer1.0.conv2,"[8.5127590e-15 2.1603267e-14 2.3206849e-14 ... 1.4911482e-01 1.5766504e-01
 1.6747077e-01]",17.860057830810547,-1.1586783213310603,4500
3,1.4869695901870728,0.09774158149957657,0.1423509418964386,module.layer1.1.conv1,"[1.1159165e-09 2.7160190e-09 5.9772978e-09 ... 7.7149257e-02 8.0709234e-02
 9.7741581e-02]",12.020374298095703,-1.501721277483485,4500
4,1.4466619491577148,0.10787444561719894,0.13917192816734314,module.layer1.1.conv2,"[1.01462838e-08 5.83520290e-08 6.13900113e-08 ... 9.60856825e-02
 1.06114574e-01 1.07874446e-01]",12.751434326171875,-1.3990398966443556,4500
5,1.6343674659729004,0.07532480359077454,0.14651933312416077,module.layer2.0.conv1,"[1.0892910e-06 1.3379575e-06 2.6654066e-06 ... 6.3411497e-02 6.7962959e-02
 7.5324804e-02]",19.894859313964844,-1.8354959821178305,4500
6,1.7375938892364502,0.0482911579310894,0.14448204636573792,module.layer2.0.conv2,"[4.5268489e-06 5.8172564e-06 6.3362727e-06 ... 3.7090879e-02 3.8373113e-02
 4.8291158e-02]",14.504083633422852,-2.2869035824961546,4500
7,1.2417329549789429,0.24681593477725983,0.2281242460012436,module.layer2.0.shortcut.0,"[9.8315355e-13 2.0460456e-12 2.3543715e-12 ... 1.6775389e-01 1.7386590e-01
 2.4681593e-01]",16.332914352416992,-0.7545102281998046,4500
8,1.711090326309204,0.0742536261677742,0.1506204605102539,module.layer2.1.conv1,"[1.5604189e-13 1.8100959e-13 2.1074199e-13 ... 5.4823380e-02 5.6750234e-02
 7.4253626e-02]",13.256433486938477,-1.932304075272904,4500
9,1.6461660861968994,0.04242768883705139,0.1443767547607422,module.layer2.1.conv2,"[1.7636763e-09 2.0152455e-09 2.9984293e-09 ... 3.1222489e-02 3.4087658e-02
 4.2427689e-02]",10.268915176391602,-2.2591170570926877,4500
10,1.7910107374191284,0.14406165480613708,0.1335136592388153,module.layer3.0.conv1,"[6.2996219e-06 1.3274303e-05 2.0327117e-05 ... 7.5737059e-02 8.8767700e-02
 1.4406165e-01]",22.8995361328125,-1.5070488521958112,4500
11,1.8807928562164307,0.07634691894054413,0.13324326276779175,module.layer3.0.conv2,"[3.6341871e-10 4.1813114e-10 4.2545556e-10 ... 2.9708233e-02 3.6312092e-02
 7.6346919e-02]",16.927200317382812,-2.101237736853303,4500
12,1.8397446870803833,0.0736144408583641,0.14984121918678284,module.layer3.0.shortcut.0,"[2.9275224e-10 5.8047450e-10 9.1474051e-10 ... 6.5046549e-02 7.0699476e-02
 7.3614441e-02]",22.845090866088867,-2.0844987683911134,4500
13,1.8243215084075928,0.01427778135985136,0.15794208645820618,module.layer3.1.conv1,"[6.33440575e-21 1.09455915e-20 1.23570694e-20 ... 1.39014777e-02
 1.39503721e-02 1.42777814e-02]",7.528515815734863,-3.366492125704277,4500
